jammer,jsr_db,seed,target_position,true_target_idx_for_evaluation_only,mode,supplied_target_idx,effective_target_idx,target_idx_error,oracle_input_status,forbidden_keys_present,interface_status,runtime_ms,memory_usage_bytes,equivalent_workspace_bytes,implementation_path,exception_type,exception_message,filter_coefficient_difference_norm,target_only_response_change_db,target_only_response_change_is_finite,target_preservation_status,target_only_reference_peak_index,delta_sinr_db,detected_before,detected_after,peak_error_before,peak_error_after,false_peak_count_before,false_peak_count_after,target_window_peak_change_db,output_is_finite,normalized_output_difference_vs_true
NoiseProductJamming,0.0,5000,3750,3750,offset_-4,3746,3746,4,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.01575000351294875,400000000,160016,algebraic_equivalent_to_active_core,,,1.7948367812882602,-4.868838735280626,True,TARGET_ATTENUATED,3750,11.77384194574785,True,True,1,4,3,56,-1.198670969925796,True,0.6686622230130512
NoiseProductJamming,0.0,5000,3750,3750,offset_-2,3748,3748,2,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.015500001609325409,400000000,160016,algebraic_equivalent_to_active_core,,,1.605702257781566,-1.1886192315169712,True,TARGET_ATTENUATED,3750,11.923300540797054,True,True,1,2,3,52,-0.1094911704217577,True,0.3652647346370094
NoiseProductJamming,0.0,5000,3750,3750,offset_-1,3749,3749,1,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.015459023416042328,400000000,160016,algebraic_equivalent_to_active_core,,,1.7761505289286286,-0.30359237476763823,True,TARGET_PRESERVED,3750,11.927166086769187,True,True,1,1,3,54,-8.68584620963044e-05,True,0.189116966508098
NoiseProductJamming,0.0,5000,3750,3750,offset_+1,3751,3751,1,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.015333003830164671,400000000,160016,algebraic_equivalent_to_active_core,,,1.7761505289286286,-0.30359237476763723,True,TARGET_PRESERVED,3750,11.927166086769187,True,True,1,1,3,53,-0.6375244483040622,True,0.18882479883597114
NoiseProductJamming,0.0,5000,3750,3750,offset_+2,3752,3752,2,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.015416007954627275,400000000,160016,algebraic_equivalent_to_active_core,,,1.605702257781566,-1.1886192315169712,True,TARGET_ATTENUATED,3750,11.92330054079704,True,True,1,2,3,55,-1.4085400844540399,True,0.36427346493130436
NoiseProductJamming,0.0,5000,3750,3750,offset_+4,3754,3754,4,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.01554097980260849,400000000,160016,algebraic_equivalent_to_active_core,,,1.7948367812882602,-4.868838735280628,True,TARGET_ATTENUATED,3750,11.773841945747808,True,True,1,4,3,54,-4.018420429587706,True,0.6658911549466197
NoiseProductJamming,0.0,5000,3750,3750,offset_+8,3758,3758,8,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.015624973457306623,400000000,160016,algebraic_equivalent_to_active_core,,,1.3611162698384056,-24.77015269320042,True,TARGET_ATTENUATED,3750,10.879089953515706,True,True,1,8,3,51,-18.005173093494275,True,0.9801209351388749
NoiseProductJamming,0.0,5000,3750,3750,offset_+16,3766,3766,16,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.015500001609325409,400000000,160016,algebraic_equivalent_to_active_core,,,1.2983506328691141,-28.529718531976492,True,TARGET_ATTENUATED,3750,1.1113643320881543,True,False,1,16,3,52,-21.94994681442195,True,0.9823459408812156
NoiseProductJamming,0.0,5000,3750,3750,offset_+32,3782,3782,32,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.016584002878516912,400000000,160016,algebraic_equivalent_to_active_core,,,1.4209607876364,-60.90086154434165,True,TARGET_ATTENUATED,3750,-19.169761279092057,True,False,1,32,3,47,-38.43550334641638,True,1.002022811016185
NoiseProductJamming,0.0,5000,3750,3750,fixed_0,0,0,3750,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.015583995264023542,400000000,160016,algebraic_equivalent_to_active_core,,,1.4142135623730505,-inf,False,TARGET_ERASED,3750,-inf,True,False,1,3750,3,0,-inf,True,0.9999999999999698
NoiseProductJamming,0.0,5000,3750,3750,random,4193,4193,443,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.01575000351294875,400000000,160016,algebraic_equivalent_to_active_core,,,1.4099281600364604,-88.45882964398085,True,TARGET_ATTENUATED,3750,-44.02482277057229,True,False,1,443,3,20,-69.89410985336916,True,1.0007380813192026
NoiseProductJamming,0.0,5000,3750,3750,missing,,0,,PASS_MISSING_INDEX,,PASS,0.015416007954627275,400000000,160016,algebraic_equivalent_to_active_core,,,1.4142135623730505,-inf,False,TARGET_ERASED,3750,-inf,True,False,1,3750,3,0,-inf,True,0.9999999999999698
NoiseProductJamming,0.0,5000,4500,4500,true,4500,4500,0,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.017000013031065464,400000000,160016,algebraic_equivalent_to_active_core,,,0.0,-8.685846209726874e-05,True,TARGET_PRESERVED,4500,11.93260950314982,True,True,1,0,4,14,-0.1689771284105614,True,0.0
NoiseProductJamming,0.0,5000,4500,4500,offset_-32,4468,4468,32,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.016208970919251442,400000000,160016,algebraic_equivalent_to_active_core,,,1.4209607876364,-60.90086154434164,True,TARGET_ATTENUATED,4500,-19.201827197166285,True,False,1,32,4,20,-35.790833045695464,True,1.008277023346905
NoiseProductJamming,0.0,5000,4500,4500,offset_-16,4484,4484,16,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.0160830095410347,400000000,160016,algebraic_equivalent_to_active_core,,,1.2983506328691141,-28.529718531976496,True,TARGET_ATTENUATED,4500,1.0908581737164766,True,False,1,16,4,19,-24.17752811796547,True,0.9845050022372727
NoiseProductJamming,0.0,5000,4500,4500,offset_-8,4492,4492,8,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.015833007637411356,400000000,160016,algebraic_equivalent_to_active_core,,,1.3611162698384056,-24.770152693200412,True,TARGET_ATTENUATED,4500,10.87819279218828,True,True,1,8,4,17,-7.811082603965477,True,0.9862870557782236
NoiseProductJamming,0.0,5000,4500,4500,offset_-4,4496,4496,4,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.015874975360929966,400000000,160016,algebraic_equivalent_to_active_core,,,1.7948367812882602,-4.868838735280624,True,TARGET_ATTENUATED,4500,11.780590227568887,True,True,1,4,4,13,-1.1986709699257938,True,0.6686622230130512
