jammer,jsr_db,target_position,mode,trials,interface_pass,target_erased_count,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_db,target_only_change_mean_db,target_only_change_min_db,detected_after_mean,peak_error_after_mean,false_peak_after_mean,normalized_output_difference_mean,filter_coefficient_difference_mean,runtime_mean_ms,memory_mean_bytes
AMNoiseGaiJam,0.0,500,offset_+8,20,20,0,5.222709585122227,0.2621809483847511,0.11490586690675875,-24.77015269320042,-24.770152693200416,1.0,8.0,622.5,0.9850743850696565,1.3611162698384054,0.019433253328315914,400000000.0
AMNoiseGaiJam,0.0,500,offset_-1,20,20,0,6.277126411165559,0.2621809483855748,0.11490586690711975,-8.685846209919741e-05,-8.685846209919741e-05,1.0,0.0,624.25,0.0,0.0,0.019137549679726362,400000000.0
AMNoiseGaiJam,0.0,500,offset_-16,20,20,0,6.277126411165559,0.2621809483855748,0.11490586690711975,-8.685846209919741e-05,-8.685846209919741e-05,1.0,0.0,624.25,0.0,0.0,0.019406090723350644,400000000.0
AMNoiseGaiJam,0.0,500,offset_-2,20,20,0,6.277126411165559,0.2621809483855748,0.11490586690711975,-8.685846209919741e-05,-8.685846209919741e-05,1.0,0.0,624.25,0.0,0.0,0.019174895714968443,400000000.0
AMNoiseGaiJam,0.0,500,offset_-32,20,20,0,6.277126411165559,0.2621809483855748,0.11490586690711975,-8.685846209919741e-05,-8.685846209919741e-05,1.0,0.0,624.25,0.0,0.0,0.019649905152618885,400000000.0
AMNoiseGaiJam,0.0,500,offset_-4,20,20,0,6.277126411165559,0.2621809483855748,0.11490586690711975,-8.685846209919741e-05,-8.685846209919741e-05,1.0,0.0,624.25,0.0,0.0,0.01939580834005028,400000000.0
AMNoiseGaiJam,0.0,500,offset_-8,20,20,0,6.277126411165559,0.2621809483855748,0.11490586690711975,-8.685846209919741e-05,-8.685846209919741e-05,1.0,0.0,624.25,0.0,0.0,0.019643857376649976,400000000.0
AMNoiseGaiJam,0.0,500,random,20,20,14,-240.03090163060713,144.929408854619,66.95397095904639,-79.32189046112181,-105.61224113726247,0.15,1817.65,255.95,0.9501937396001505,1.3346239807235416,0.019339591381140053,400000000.0
AMNoiseGaiJam,0.0,500,true,20,20,0,6.277126411165559,0.2621809483855748,0.11490586690711975,-8.685846209919741e-05,-8.685846209919741e-05,1.0,0.0,624.25,0.0,0.0,0.02092720242217183,400000000.0
AMNoiseGaiJam,10.0,1250,fixed_0,20,20,0,-43.985297100088935,0.42421600822201755,0.18592086297949603,-100.74809690831708,-100.74809690831707,0.0,750.0,629.25,1.0023149636031818,1.4162946809990093,0.0190062535693869,400000000.0
AMNoiseGaiJam,10.0,1250,missing,20,20,0,-43.985297100088935,0.42421600822201755,0.18592086297949603,-100.74809690831708,-100.74809690831707,0.0,750.0,629.25,1.0023149636031818,1.4162946809990093,0.018833298236131668,400000000.0
AMNoiseGaiJam,10.0,1250,offset_+1,20,20,0,16.627935007083153,0.4242160082221494,0.1859208629795538,-0.3035923747676373,-0.30359237476763723,1.0,1.0,491.5,0.19191986121370347,1.7761505289286288,0.018908342462964356,400000000.0
AMNoiseGaiJam,10.0,1250,offset_+16,20,20,0,5.812133252402125,0.42421600822197997,0.18592086297947955,-28.5297185319765,-28.529718531976496,0.0,16.0,490.2,0.9937810889397373,1.298350632869114,0.01876655442174524,400000000.0
