jammer,algorithm,jsr_db,target_position,trials,interface_pass,oracle_input_failures,target_erased_count,fallback_count,delta_sinr_mean_db,delta_sinr_std_db,target_only_change_mean_db,pd_after,estimation_error_mean,confidence_mean,runtime_mean_ms,memory_mean_bytes
NoJammer,adapt_filter_fair_multihypothesis,10.0,3500,10,10,0,0,0,3.374197210890629,0.16963659330007202,-8.685846209726874e-05,1.0,0.0,0.5847436000064004,2.4418417073320597,970429.2
NoJammer,adapt_filter_fair_multihypothesis,10.0,500,10,10,0,0,0,4.146126134441568,0.12779009545056186,-8.685846209919741e-05,1.0,0.0,0.586040003179591,2.4370542902033776,970438.4
NoJammer,adapt_filter_fair_multihypothesis,20.0,1500,10,10,0,0,0,4.697744276738273,0.1160469805665378,-8.685846209919741e-05,1.0,0.0,0.5839382959495948,2.45232519810088,970475.2
NoJammer,adapt_filter_fair_multihypothesis,20.0,3500,10,10,0,0,0,3.374197210890629,0.16963659330007202,-8.685846209726874e-05,1.0,0.0,0.5847436000064004,2.452745888149366,970456.8
NoJammer,adapt_filter_fair_multihypothesis,20.0,500,10,10,0,0,0,4.146126134441568,0.12779009545056186,-8.685846209919741e-05,1.0,0.0,0.586040003179591,2.4328500090632588,970456.8
NoJammer,adapt_filter_fair_multihypothesis,30.0,1500,10,10,0,0,0,4.697744276738273,0.1160469805665378,-8.685846209919741e-05,1.0,0.0,0.5839382959495948,2.4541250022593886,970438.4
NoJammer,adapt_filter_fair_multihypothesis,30.0,3500,10,10,0,0,0,3.374197210890629,0.16963659330007202,-8.685846209726874e-05,1.0,0.0,0.5847436000064004,2.417404088191688,970429.2
NoJammer,adapt_filter_fair_multihypothesis,30.0,500,10,10,0,0,0,4.146126134441568,0.12779009545056186,-8.685846209919741e-05,1.0,0.0,0.586040003179591,2.4257668061181903,970433.8
NoJammer,adapt_filter_oracle,0.0,1500,10,10,0,0,0,4.697744276738273,0.1160469805665378,-8.685846209919741e-05,1.0,0.0,1.0,32.85692509380169,400257360.0
NoJammer,adapt_filter_oracle,0.0,3500,10,10,0,0,0,3.374197210890629,0.16963659330007202,-8.685846209919741e-05,1.0,0.0,1.0,33.323062281124294,400257360.0
