jammer,role,jsr_db,target_position,trials,interface_pass,interface_failures,oracle_input_failures,target_erased_count,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_db,pd_mean,target_only_change_mean_db,fallback_ratio,estimation_error_mean,confidence_mean,position_spread_db
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,30.0,1500,50,50,0,0,0,-0.7844886771838889,5.547172634007924,1.5375978072804226,0.0,-8.685885305199628e-06,0.98,516.0,0.016086351279937287,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,30.0,2500,50,50,0,0,0,-6.156484858038843,43.532921913915665,12.066710321756135,1.0,-8.685885305199628e-06,0.98,1516.0,0.01608277932196358,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,30.0,3500,50,50,0,0,0,-6.157595181467124,43.54077308617013,12.068886555675562,1.0,-8.685885305199628e-06,0.98,2516.0,0.0160828463940204,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,30.0,4000,50,50,0,0,0,-6.061939285454538,42.86438375886038,11.881400999490891,1.0,-8.685885306163955e-06,0.98,3016.0,0.01608289865450347,0.0
FMNoiseAimedJam,IDENTITY_BASELINE,0.0,1000,50,50,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
FMNoiseAimedJam,IDENTITY_BASELINE,0.0,1500,50,50,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
FMNoiseAimedJam,IDENTITY_BASELINE,0.0,2500,50,50,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
FMNoiseAimedJam,IDENTITY_BASELINE,0.0,3500,50,50,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
FMNoiseAimedJam,IDENTITY_BASELINE,0.0,4000,50,50,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
FMNoiseAimedJam,IDENTITY_BASELINE,10.0,1000,50,50,0,0,0,0.0,0.0,0.0,0.5,0.0,1.0,nan,1.0,0.0
FMNoiseAimedJam,IDENTITY_BASELINE,10.0,1500,50,50,0,0,0,0.0,0.0,0.0,0.78,0.0,1.0,nan,1.0,0.0
FMNoiseAimedJam,IDENTITY_BASELINE,10.0,2500,50,50,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
FMNoiseAimedJam,IDENTITY_BASELINE,10.0,3500,50,50,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
FMNoiseAimedJam,IDENTITY_BASELINE,10.0,4000,50,50,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
FMNoiseAimedJam,IDENTITY_BASELINE,20.0,1000,50,50,0,0,0,0.0,0.0,0.0,0.02,0.0,1.0,nan,1.0,0.0
FMNoiseAimedJam,IDENTITY_BASELINE,20.0,1500,50,50,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,nan,1.0,0.0
FMNoiseAimedJam,IDENTITY_BASELINE,20.0,2500,50,50,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
FMNoiseAimedJam,IDENTITY_BASELINE,20.0,3500,50,50,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
FMNoiseAimedJam,IDENTITY_BASELINE,20.0,4000,50,50,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
FMNoiseAimedJam,IDENTITY_BASELINE,30.0,1000,50,50,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,nan,1.0,0.0
FMNoiseAimedJam,IDENTITY_BASELINE,30.0,1500,50,50,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,nan,1.0,0.0
FMNoiseAimedJam,IDENTITY_BASELINE,30.0,2500,50,50,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
FMNoiseAimedJam,IDENTITY_BASELINE,30.0,3500,50,50,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
FMNoiseAimedJam,IDENTITY_BASELINE,30.0,4000,50,50,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,0.0,1000,50,50,0,0,0,10.297777609749154,0.467710566955706,0.12964275490257793,1.0,-8.685846209437572e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,0.0,1500,50,50,0,0,0,10.523717949332557,0.5065989688511354,0.14042206995696616,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,0.0,2500,50,50,0,0,0,10.584894716012707,0.32031136611263616,0.0887857809151938,1.0,-8.68584620963044e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,0.0,3500,50,50,0,0,0,10.5988630402096,0.3366899864870907,0.09332570286023052,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,0.0,4000,50,50,0,0,0,10.591140868424963,0.3271690998776349,0.09068664773432439,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,10.0,1000,50,50,0,0,0,19.390265801192538,1.2585601925805991,0.348855087108434,1.0,-8.685846209437572e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,10.0,1500,50,50,0,0,0,19.716446643276143,1.286520768447543,0.3566053633265816,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,10.0,2500,50,50,0,0,0,19.84490074836391,0.3723045312300951,0.10319755101011738,1.0,-8.68584620963044e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,10.0,3500,50,50,0,0,0,19.861064802141833,0.38884546738404835,0.10778246459379792,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,10.0,4000,50,50,0,0,0,19.850154147613114,0.383934776489203,0.10642129052363189,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,20.0,1000,50,50,0,0,0,27.50439882556597,2.7428193393718128,0.7602707325402507,1.0,-8.685846209437572e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,20.0,1500,50,50,0,0,0,28.280284979888382,2.4530356336750714,0.679946787377042,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,20.0,2500,50,50,0,0,0,29.76358832982809,0.37921130905048217,0.10511201214783163,1.0,-8.68584620963044e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,20.0,3500,50,50,0,0,0,29.78041329115825,0.3955698659088438,0.10964637276994113,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,20.0,4000,50,50,0,0,0,29.769098727529716,0.3914271295661396,0.10849806484138824,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,30.0,1000,50,50,0,0,0,29.849206000254913,2.853174611138004,0.7908596532544295,1.0,-8.685846209437572e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,30.0,1500,50,50,0,0,0,32.57137991873694,3.6061287035007803,0.9995678795501269,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,30.0,2500,50,50,0,0,0,39.75542523337769,0.38009562177357153,0.10535713112892055,1.0,-8.68584620963044e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,30.0,3500,50,50,0,0,0,39.77244356707502,0.3963678931695425,0.10986757464108493,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,30.0,4000,50,50,0,0,0,39.761087308621924,0.39233301971067164,0.10874916477855803,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,0.0,1000,50,50,0,0,0,7.967229353657691,2.9935802110103378,0.829778099954656,1.0,-8.68588530327097e-06,0.0,0.02,0.9599779793351079,0.0
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,0.0,1500,50,50,0,0,0,8.075237780575755,2.948315680213441,0.8172314121385605,1.0,-8.685885305199628e-06,0.0,0.0,0.9495374238057706,0.0
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,0.0,2500,50,50,0,0,0,8.081135581012688,2.9604989206471326,0.8206084340941364,1.0,-8.685885305199628e-06,0.0,0.0,0.9487642597506815,0.0
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,0.0,3500,50,50,0,0,0,8.058086491243742,2.972959271348933,0.8240622670972011,1.0,-8.685885305199628e-06,0.0,0.0,0.9488619781947293,0.0
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,0.0,4000,50,50,0,0,0,8.06221247679158,2.9714366551857285,0.8236402194292558,1.0,-8.685885306163955e-06,0.0,0.0,0.9489626022406717,0.0
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,10.0,1000,50,50,0,0,0,15.34765999461273,6.187110999323083,1.7149796722814894,1.0,-8.68588530327097e-06,0.0,0.56,0.8917298761791187,0.0
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,10.0,1500,50,50,0,0,0,14.146098185470429,6.905627191659702,1.9141421997029655,1.0,-8.685885305199628e-06,0.06,0.0,0.8171513905157914,0.0
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,10.0,2500,50,50,0,0,0,12.14478460597985,7.778266606688243,2.156025504878724,1.0,-8.685885305199628e-06,0.16,0.0,0.7351965138642907,0.0
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,10.0,3500,50,50,0,0,0,12.931215626238,7.512092535754422,2.082245816589657,1.0,-8.685885305199628e-06,0.12,0.0,0.7673809438165788,0.0
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,10.0,4000,50,50,0,0,0,13.333931639350771,7.348415552424747,2.0368768714937215,1.0,-8.685885306163955e-06,0.1,0.0,0.7833887196321518,0.0
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,20.0,1000,50,50,0,0,0,2.2614727872987817,4.305651766935589,1.193465780236574,0.74,-8.68588530327097e-06,0.78,0.0,0.20691791803842052,0.0
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,20.0,1500,50,50,0,0,0,2.3066178598224,4.392018926196868,1.2174055353988777,1.0,-8.685885305199628e-06,0.78,0.0,0.20679876884096113,0.0
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,20.0,2500,50,50,0,0,0,2.30895046079201,4.39686729905728,1.2187494357911863,1.0,-8.685885305199628e-06,0.78,0.0,0.2064397963487337,0.0
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,20.0,3500,50,50,0,0,0,2.3046799766321815,4.38865994752298,1.2164744740123963,1.0,-8.685885305199628e-06,0.78,0.0,0.2065213552706605,0.0
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,20.0,4000,50,50,0,0,0,2.2972779931420613,4.374794175313373,1.2126310780425222,1.0,-8.685885306163955e-06,0.78,0.0,0.2066000192820097,0.0
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,30.0,1000,50,50,0,0,0,4.340558885194041,8.259144909773951,2.289318170021379,0.48,-8.68588530327097e-06,0.78,0.0,0.1859166073760613,0.0
