jammer,jsr_db,seed,target_position,position_policy,fixture_label_physical,fixture_label_stress,physical_received_energy_error_db,stress_received_energy_error_db,physical_target_energy_error_db,stress_target_energy_error_db,physical_noise_energy_error_db,stress_noise_energy_error_db,physical_jammer_energy_error_db,stress_jammer_energy_error_db,physical_measured_jsr_db,stress_received_finite
NoiseProductJamming,20.0,6100,1500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.0266274219968535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,True
NoiseProductJamming,20.0,6100,2500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.021951480114512027,-0.0041976335410542406,0.0,0.0,0.0,-0.9213522413999027,9.64327466553287e-16,9.64327466553287e-16,20.0,True
NoiseProductJamming,20.0,6100,3500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.020888942069493478,-0.008717194682276233,0.0,0.0,0.0,-2.1951402695838955,0.0,0.0,20.0,True
NoiseProductJamming,20.0,6100,4000,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.022951479424824277,-0.010963064086168298,0.0,0.0,0.0,-3.0003941618804464,9.64327466553287e-16,9.64327466553287e-16,20.0,True
NoiseProductJamming,20.0,6101,1000,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,-0.03461136860186718,-0.002200450434938639,0.0,0.0,0.0,-0.46697818159502946,0.0,0.0,20.0,True
NoiseProductJamming,20.0,6101,1500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,-0.03883593053848769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,True
NoiseProductJamming,20.0,6101,2500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,-0.01694096425199885,-0.004504319999503972,0.0,0.0,0.0,-1.0161996281305252,0.0,0.0,20.0,True
NoiseProductJamming,20.0,6101,3500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,-0.03298498525126736,-0.008540060656746956,0.0,0.0,0.0,-2.185111604668513,-9.643274665532871e-16,-9.643274665532871e-16,20.0,True
NoiseProductJamming,20.0,6101,4000,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,-0.021440169688018155,-0.01085719889157304,0.0,0.0,0.0,-3.032169899537483,0.0,0.0,20.0,True
NoiseProductJamming,20.0,6102,1000,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.023707420667061732,-0.002034871207558741,0.0,0.0,0.0,-0.431630376823772,0.0,0.0,20.0,True
