jammer,jsr_db,seed,target_position,true_target_idx_for_evaluation_only,candidate_id,estimated_target_idx,estimation_error_for_evaluation_only,estimator_confidence,fallback,fit_status,oracle_input_status,forbidden_keys_present,target_preservation_status,target_only_response_change_db,algorithm,role,interface_status,delta_sinr_db,detected_before,detected_after,pd_after,peak_error_before,peak_error_after,false_peak_count_before,false_peak_count_after,target_window_peak_change_db,runtime_ms,memory_usage_bytes
NoiseProductJamming,0.0,9104,1500,1500,B_k3_c0.8_r0.001,1501,1,0.9443810640736752,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,TARGET_PRESERVED,-8.685885305199628e-06,adapt_filter_fair_frozen,FROZEN_REJECTION_CONFIRMATION,PASS,13.131305640698518,True,True,True,1,1,1,447,-8.685885306163955e-06,0.599374994635582,80000
NoiseProductJamming,0.0,9104,2500,2500,,,,1.0,Identity,IDENTITY,PASS,,TARGET_PRESERVED,0.0,Identity,IDENTITY_BASELINE,PASS,0.0,True,True,True,1,1,1,1,-9.643274665532877e-15,0.0,0
NoiseProductJamming,0.0,9104,2500,2500,,2500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,TARGET_PRESERVED,-8.68584620963044e-05,adapt_filter_oracle,ORACLE_UPPER_BOUND,PASS,13.062761190133596,True,True,True,1,0,1,272,-0.05280123551366645,24.42054101265967,400257328
NoiseProductJamming,0.0,9104,2500,2500,B_k3_c0.8_r0.001,2501,1,0.942356308634845,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,TARGET_PRESERVED,-8.685885305199628e-06,adapt_filter_fair_frozen,FROZEN_REJECTION_CONFIRMATION,PASS,13.065516177550467,True,True,True,1,1,1,269,-8.685885306163955e-06,0.5036250222474337,80000
NoiseProductJamming,0.0,9104,3500,3500,,,,1.0,Identity,IDENTITY,PASS,,TARGET_PRESERVED,0.0,Identity,IDENTITY_BASELINE,PASS,0.0,True,True,True,1,1,0,0,-9.643274665532877e-15,0.0,0
NoiseProductJamming,0.0,9104,3500,3500,,3500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,TARGET_PRESERVED,-8.685846209919741e-05,adapt_filter_oracle,ORACLE_UPPER_BOUND,PASS,13.092088235552634,True,True,True,1,0,0,88,-0.0420596179903213,23.624833032954484,400257328
NoiseProductJamming,0.0,9104,3500,3500,B_k3_c0.8_r0.001,3501,1,0.9430133030752863,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,TARGET_PRESERVED,-8.685885305199628e-06,adapt_filter_fair_frozen,FROZEN_REJECTION_CONFIRMATION,PASS,13.094843222969505,True,True,True,1,1,0,93,-8.685885305199628e-06,0.4931660369038582,80000
NoiseProductJamming,0.0,9104,4000,4000,,,,1.0,Identity,IDENTITY,PASS,,TARGET_PRESERVED,0.0,Identity,IDENTITY_BASELINE,PASS,0.0,True,True,True,1,1,0,0,-9.643274665532877e-15,0.0,0
NoiseProductJamming,0.0,9104,4000,4000,,4000,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,TARGET_PRESERVED,-8.685846209919741e-05,adapt_filter_oracle,ORACLE_UPPER_BOUND,PASS,13.161902819460092,True,True,True,1,0,0,19,-0.0700657065077689,23.711833986453712,400257328
NoiseProductJamming,0.0,9104,4000,4000,B_k3_c0.8_r0.001,4001,1,0.9426732839399745,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,TARGET_PRESERVED,-8.685885306163955e-06,adapt_filter_fair_frozen,FROZEN_REJECTION_CONFIRMATION,PASS,13.164666889389569,True,True,True,1,1,0,21,-8.685885306163955e-06,0.4711250076070428,80000
