jammer,role,jsr_db,target_position,trials,interface_pass,interface_failures,oracle_input_failures,target_erased_count,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_db,pd_mean,target_only_change_mean_db,fallback_ratio,estimation_error_mean,confidence_mean,position_spread_db
FMNoiseAimedJam,ORACLE_UPPER_BOUND,0.0,2500,50,50,0,0,0,10.53287876407475,0.3904490581895593,0.10822695728746538,1.0,-8.68584620963044e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,0.0,3500,50,50,0,0,0,10.523845860533747,0.37665853469880933,0.1044044191983081,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,0.0,4000,50,50,0,0,0,10.522799847644892,0.3959666119633556,0.1097563451655584,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,10.0,1000,50,50,0,0,0,19.784446066217473,1.1305260483498727,0.3133658329577204,1.0,-8.685846209437572e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,10.0,1500,50,50,0,0,0,19.620132243209,1.1887533577320124,0.3295056196809488,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,10.0,2500,50,50,0,0,0,19.791715818777188,0.45560976139469694,0.12628858272793422,1.0,-8.68584620963044e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,10.0,3500,50,50,0,0,0,19.77855483043526,0.44153186461542404,0.12238638882716672,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,10.0,4000,50,50,0,0,0,19.778367186387623,0.45685788245479425,0.12663454423514617,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,20.0,1000,50,50,0,0,0,28.471068231203898,2.667207698784231,0.739312255052172,1.0,-8.685846209437572e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,20.0,1500,50,50,0,0,0,28.17163182453385,1.9888430950202804,0.5512791801683135,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,20.0,2500,50,50,0,0,0,29.710873465511177,0.46598275234989006,0.1291638291282109,1.0,-8.68584620963044e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,20.0,3500,50,50,0,0,0,29.697486697408035,0.4518660639239238,0.12525088273156273,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,20.0,4000,50,50,0,0,0,29.6974114937745,0.4661506818798411,0.12921037681909173,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,30.0,1000,50,50,0,0,0,30.508789407178643,2.5562959826068212,0.7085690958163151,1.0,-8.685846209437572e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,30.0,1500,50,50,0,0,0,32.134774198891655,2.695819906480523,0.7472431543981842,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,30.0,2500,50,50,0,0,0,39.70296374019073,0.4677594672882405,0.129656309383219,1.0,-8.68584620963044e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,30.0,3500,50,50,0,0,0,39.68964276426887,0.4536134870948284,0.1257352437228724,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,ORACLE_UPPER_BOUND,30.0,4000,50,50,0,0,0,39.68957920528264,0.46762391000792347,0.12961873482213562,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,0.0,1000,50,50,0,0,0,7.453864466161779,3.231361547999201,0.8956877239178321,1.0,-8.68588530327097e-06,0.0,0.02,0.9622039690027586,0.0
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,0.0,1500,50,50,0,0,0,7.50219314854587,3.14823974155879,0.8726475346624241,1.0,-8.685885305199628e-06,0.0,0.0,0.9539405276568524,0.0
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,0.0,2500,50,50,0,0,0,7.47922177009409,3.114522671848483,0.8633016397579362,1.0,-8.685885305199628e-06,0.0,0.0,0.9534710519269143,0.0
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,0.0,3500,50,50,0,0,0,7.474227943786369,3.113878120019878,0.8631229791061538,1.0,-8.685885305199628e-06,0.0,0.0,0.9534955178929557,0.0
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,0.0,4000,50,50,0,0,0,7.46897385553716,3.1383684346293763,0.8699113479793908,1.0,-8.685885306163955e-06,0.0,0.0,0.9535141840080265,0.0
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,10.0,1000,50,50,0,0,0,14.317555598907946,6.891846702565,1.9103224430064885,1.0,-8.68588530327097e-06,0.0,0.44,0.898616742285561,0.0
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,10.0,1500,50,50,0,0,0,12.541435215084755,7.290301933508581,2.020768598159876,1.0,-8.685885305199628e-06,0.08,0.0,0.8151221268281565,0.0
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,10.0,2500,50,50,0,0,0,12.520343637818273,7.264778959255512,2.013693990637081,1.0,-8.685885305199628e-06,0.08,0.0,0.8128404925927409,0.0
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,10.0,3500,50,50,0,0,0,12.515159846930365,7.263570256682156,2.0133589553769466,1.0,-8.685885305199628e-06,0.08,0.0,0.8128627980645267,0.0
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,10.0,4000,50,50,0,0,0,12.517739952978477,7.282963015410534,2.018734353848425,1.0,-8.685885306163955e-06,0.08,0.0,0.8127779321820612,0.0
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,20.0,1000,50,50,0,0,0,3.0772815914179716,4.7620304238336715,1.3199674899244995,0.68,-8.68588530327097e-06,0.7,0.0,0.28197049360866655,0.0
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,20.0,1500,50,50,0,0,0,3.1493183791729207,4.86872765779217,1.3495424542895333,1.0,-8.685885305199628e-06,0.7,0.0,0.2819125606422751,0.0
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,20.0,2500,50,50,0,0,0,3.1467658705509227,4.86523626269267,1.3485746889424752,1.0,-8.685885305199628e-06,0.7,0.0,0.2814931979328489,0.0
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,20.0,3500,50,50,0,0,0,3.147865107041038,4.867551532191722,1.3492164489055924,1.0,-8.685885305199628e-06,0.7,0.0,0.2814915900368716,0.0
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,20.0,4000,50,50,0,0,0,3.144962948381246,4.8633571256372665,1.3480538187250508,1.0,-8.685885306163955e-06,0.7,0.0,0.28145660348888674,0.0
