jammer,jsr_db,selection_metric,target_position,metric_scope,n,mean,std,ci95_low,ci95_high,min,q25,median,q75,max
FMNoiseAimedJam,20.0,topk,4000,SUPPLEMENTARY_DIAGNOSTIC,30,1.9200000000000004,4.516810283266961e-16,1.9200000000000002,1.9200000000000006,1.92,1.92,1.92,1.92,1.92
FMNoiseAimedJam,30.0,entropy,1000,SUPPLEMENTARY_DIAGNOSTIC,30,1.2,0.9965457582448798,0.8433906803004838,1.556609319699516,0.0,0.0,2.0,2.0,2.0
FMNoiseAimedJam,30.0,entropy,1500,SUPPLEMENTARY_DIAGNOSTIC,30,1.4,0.932183199398798,1.0664225261884688,1.733577473811531,0.0,0.0,2.0,2.0,2.0
FMNoiseAimedJam,30.0,entropy,2500,SUPPLEMENTARY_DIAGNOSTIC,30,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
FMNoiseAimedJam,30.0,entropy,3500,SUPPLEMENTARY_DIAGNOSTIC,30,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
FMNoiseAimedJam,30.0,entropy,4000,SUPPLEMENTARY_DIAGNOSTIC,30,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
FMNoiseAimedJam,30.0,peak,1000,SUPPLEMENTARY_DIAGNOSTIC,30,1.1466666666666663,0.9029657393482777,0.8235445266576835,1.469788806675649,0.020000000000000018,0.06499999999999995,1.8499999999999999,1.88,1.9
FMNoiseAimedJam,30.0,peak,1500,SUPPLEMENTARY_DIAGNOSTIC,30,1.008,0.9118318054220912,0.6817051789928441,1.334294821007156,0.020000000000000018,0.05999999999999994,1.8,1.8399999999999999,1.9
FMNoiseAimedJam,30.0,peak,2500,SUPPLEMENTARY_DIAGNOSTIC,30,1.8999999999999995,4.516810283266961e-16,1.8999999999999992,1.8999999999999997,1.9,1.9,1.9,1.9,1.9
FMNoiseAimedJam,30.0,peak,3500,SUPPLEMENTARY_DIAGNOSTIC,30,1.8999999999999995,4.516810283266961e-16,1.8999999999999992,1.8999999999999997,1.9,1.9,1.9,1.9,1.9
FMNoiseAimedJam,30.0,peak,4000,SUPPLEMENTARY_DIAGNOSTIC,30,1.8999999999999995,4.516810283266961e-16,1.8999999999999992,1.8999999999999997,1.9,1.9,1.9,1.9,1.9
FMNoiseAimedJam,30.0,topk,1000,SUPPLEMENTARY_DIAGNOSTIC,30,0.9213333333333331,0.9339708824130452,0.5871161453709216,1.2555505212957447,0.019999999999999907,0.05999999999999994,0.07999999999999996,1.9,1.92
FMNoiseAimedJam,30.0,topk,1500,SUPPLEMENTARY_DIAGNOSTIC,30,1.1700000000000002,0.9204758889123416,0.8406119334420197,1.4993880665579806,0.05999999999999994,0.05999999999999994,1.9,1.92,1.92
FMNoiseAimedJam,30.0,topk,2500,SUPPLEMENTARY_DIAGNOSTIC,30,1.9200000000000004,4.516810283266961e-16,1.9200000000000002,1.9200000000000006,1.92,1.92,1.92,1.92,1.92
FMNoiseAimedJam,30.0,topk,3500,SUPPLEMENTARY_DIAGNOSTIC,30,1.9200000000000004,4.516810283266961e-16,1.9200000000000002,1.9200000000000006,1.92,1.92,1.92,1.92,1.92
FMNoiseAimedJam,30.0,topk,4000,SUPPLEMENTARY_DIAGNOSTIC,30,1.9200000000000004,4.516810283266961e-16,1.9200000000000002,1.9200000000000006,1.92,1.92,1.92,1.92,1.92
FMNoiseSaopin,0.0,entropy,1000,FORMAL_TARGET_JAMMERS,30,0.9633333333333334,0.82742781051231,0.6672420940038611,1.2594245726628057,0.0,0.45999999999999996,0.48,2.0,2.0
FMNoiseSaopin,0.0,entropy,1500,FORMAL_TARGET_JAMMERS,30,1.5899999999999999,0.8086898727848811,1.3006140455711617,1.879385954428838,0.0,1.98,1.98,2.0,2.0
FMNoiseSaopin,0.0,entropy,2500,FORMAL_TARGET_JAMMERS,30,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
FMNoiseSaopin,0.0,entropy,3500,FORMAL_TARGET_JAMMERS,30,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
FMNoiseSaopin,0.0,entropy,4000,FORMAL_TARGET_JAMMERS,30,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
FMNoiseSaopin,0.0,peak,1000,FORMAL_TARGET_JAMMERS,30,1.1820000000000006,0.5568718047239883,0.9827259839305196,1.3812740160694816,0.32000000000000006,0.38,1.52,1.54,1.74
FMNoiseSaopin,0.0,peak,1500,FORMAL_TARGET_JAMMERS,30,1.3413333333333335,0.77218781587675,1.065009472214257,1.61765719445241,0.05999999999999994,0.36,1.8599999999999999,1.88,1.9
FMNoiseSaopin,0.0,peak,2500,FORMAL_TARGET_JAMMERS,30,1.8999999999999995,4.516810283266961e-16,1.8999999999999992,1.8999999999999997,1.9,1.9,1.9,1.9,1.9
FMNoiseSaopin,0.0,peak,3500,FORMAL_TARGET_JAMMERS,30,1.8999999999999995,4.516810283266961e-16,1.8999999999999992,1.8999999999999997,1.9,1.9,1.9,1.9,1.9
FMNoiseSaopin,0.0,peak,4000,FORMAL_TARGET_JAMMERS,30,1.8999999999999995,4.516810283266961e-16,1.8999999999999992,1.8999999999999997,1.9,1.9,1.9,1.9,1.9
FMNoiseSaopin,0.0,topk,1000,FORMAL_TARGET_JAMMERS,30,1.0699999999999998,0.5710909100889341,0.8656377424233155,1.2743622575766842,0.36,0.38,1.51,1.54,1.6
FMNoiseSaopin,0.0,topk,1500,FORMAL_TARGET_JAMMERS,30,1.6833333333333336,0.5014209693518482,1.5039021438628593,1.8627645228038079,0.07999999999999996,1.85,1.9,1.92,1.92
FMNoiseSaopin,0.0,topk,2500,FORMAL_TARGET_JAMMERS,30,1.9200000000000004,4.516810283266961e-16,1.9200000000000002,1.9200000000000006,1.92,1.92,1.92,1.92,1.92
FMNoiseSaopin,0.0,topk,3500,FORMAL_TARGET_JAMMERS,30,1.9200000000000004,4.516810283266961e-16,1.9200000000000002,1.9200000000000006,1.92,1.92,1.92,1.92,1.92
