Jammer,Algorithm,JSR_dB,Trials,InterfacePassRate,Pd_before,Pd_after,MeanDeltaSINR_dB,DeltaSINR_std_dB,DeltaSINR_ci95_dB,MeanPeakError_before,MeanPeakError_after,MeanFalsePeak_before,MeanFalsePeak_after,MeanWindowPeakChange_dB,MeanReferenceResponseVsClean_dB,MeanTargetOnlyResponseChange_dB,TargetOnlyResponseChange_std_dB,TargetOnlyResponseChange_ci95_dB,Pd_after_ci95,MeanRuntime_ms,Conclusion
AMNoiseGaiJam,WLN,0.0,20,1.0,1.0,1.0,-0.42417249585126593,0.115991218170813,0.050835392730097545,0.0,0.0,0.4,0.55,2.307789623058394,2.6650081408118673,1.7542552869168084,0.0,0.0,0.0,4.505816550226882,Harmful/Not demonstrated
AMNoiseGaiJam,FDC,0.0,20,1.0,1.0,1.0,0.2197878608574692,0.030393828561975596,0.013320682685166214,0.0,0.0,0.4,0.6,-1.0076606258207963,-0.6504421080673221,-8.678947198979587e-15,0.0,0.0,0.0,0.8829667000100017,Recommended
AMNoiseGaiJam,adapt_filter,0.0,20,1.0,1.0,1.0,8.31705047211691,0.3470675817330563,0.1521090742861493,0.0,1.0,0.4,450.2,-0.1138028284730164,0.1087408066822334,-0.28757652475240925,5.695323946259567e-17,2.4960857735528752e-17,0.0,47.52450844971463,Blocked oracle-risk
AMNoiseGaiJam,FrFT,0.0,20,1.0,1.0,1.0,-0.24160869882831584,0.02431741232974448,0.010657575853215235,0.0,0.0,0.4,0.45,-0.31940091064075865,0.037817607112715576,-0.33741841018336743,5.695323946259567e-17,2.4960857735528752e-17,0.0,73.21159999701194,Harmful/Not demonstrated
AMNoiseGaiJam,qpzh,0.0,20,1.0,1.0,1.0,1.4529002893348955,0.3363259829740344,0.14740136106375804,0.0,0.0,0.4,0.3,0.11477149117981145,0.4719900089332856,-8.678947198979587e-15,0.0,0.0,0.0,1.5819083579117432,Recommended
AMNoiseGaiJam,Identity,10.0,20,1.0,1.0,1.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,-6.8467250125283395e-15,1.138398975100646,-8.678947198979587e-15,0.0,0.0,0.0,0.3781312989303842,Baseline
AMNoiseGaiJam,WLN,10.0,20,1.0,1.0,1.0,1.558531419380945,0.15335991076032995,0.06721294435474624,0.1,0.1,0.3,0.45,3.545037234753098,4.68424118263318,1.7542552869168084,0.0,0.0,0.0,4.486804149928503,Recommended
AMNoiseGaiJam,FDC,10.0,20,1.0,1.0,1.0,0.44418808216582945,0.08736338457286563,0.038288691463279255,0.1,0.0,0.3,0.5,-2.2311347687740315,-1.0909395340746346,-8.678947198979587e-15,0.0,0.0,0.0,0.8807290927506983,Recommended
AMNoiseGaiJam,adapt_filter,10.0,20,1.0,1.0,1.0,16.47480224509055,0.5076867585712328,0.2225035322745929,0.1,1.0,0.3,447.5,-0.058482728707594654,0.9470376233935769,-0.28757652475240925,5.695323946259567e-17,2.4960857735528752e-17,0.0,47.32222509919666,Blocked oracle-risk
AMNoiseGaiJam,FrFT,10.0,20,1.0,1.0,1.0,0.05280390786405729,0.02315733232248935,0.010149148373125296,0.1,0.15,0.3,0.4,-0.2953863376176716,0.841009728438585,-0.33741841018336743,5.695323946259567e-17,2.4960857735528752e-17,0.0,72.78458540095016,Neutral
AMNoiseGaiJam,qpzh,10.0,20,1.0,1.0,1.0,2.7965276443081675,0.3072386998556234,0.1346532971663824,0.1,0.9,0.3,0.3,0.3606027601371146,1.4474760305055647,-8.678947198979587e-15,0.0,0.0,0.0,1.6023020580178127,Recommended
AMNoiseGaiJam,Identity,20.0,20,1.0,0.05,0.05,0.0,0.0,0.0,0.7,0.7,0.3,0.3,-5.400233812698409e-15,3.2679560853486813,-8.678947198979587e-15,0.0,0.0,0.09799999999999998,0.3790250950260088,Baseline
AMNoiseGaiJam,WLN,20.0,20,1.0,0.05,0.55,2.3583533832376604,0.4052643312571386,0.17761492433520312,0.7,0.65,0.3,0.4,4.101311906469937,7.380123977767513,1.7542552869168084,0.0,0.0,0.22370045761428853,4.470102008781396,Recommended
AMNoiseGaiJam,FDC,20.0,20,1.0,0.05,0.45,0.055277597106684076,0.1722966834222605,0.07551235090026738,0.7,0.55,0.3,0.55,-2.6531797687661074,0.6204006873390511,-8.678947198979587e-15,0.0,0.0,0.22370045761428858,0.8853353559970856,Conditional
AMNoiseGaiJam,adapt_filter,20.0,20,1.0,0.05,1.0,24.222209836394846,0.9435109883710274,0.41351192267306364,0.7,1.0,0.3,448.7,-0.003132527848649427,3.166867038240526,-0.28757652475240925,5.695323946259567e-17,2.4960857735528752e-17,0.0,47.32372906000819,Blocked oracle-risk
AMNoiseGaiJam,FrFT,20.0,20,1.0,0.05,0.05,0.11755232159669848,0.02894308930821902,0.012684868173716918,0.7,0.7,0.3,0.35,-0.23653545648411223,3.0186091047977195,-0.33741841018336743,5.695323946259567e-17,2.4960857735528752e-17,0.09799999999999998,72.97017500095535,Neutral
AMNoiseGaiJam,qpzh,20.0,20,1.0,0.05,0.2,3.673103553325034,0.5843042331626525,0.25608262103894525,0.7,1.0,0.3,0.3,1.116908149249097,4.224340042317285,-8.678947198979587e-15,0.0,0.0,0.1798619353545204,1.6074437065981328,Recommended
AMNoiseGaiJam,Identity,30.0,20,1.0,0.0,0.0,0.0,0.0,0.0,314.65,314.65,0.3,0.3,-3.0858478929705195e-15,7.904928673754547,-8.678947198979587e-15,0.0,0.0,0.0,0.37578760529868305,Baseline
AMNoiseGaiJam,WLN,30.0,20,1.0,0.0,0.0,1.7661335703340673,0.541129830182831,0.2371606046485786,314.65,79.2,0.3,0.4,3.4765372355750737,11.486889157425306,1.7542552869168084,0.0,0.0,0.0,4.468418858596124,Recommended
AMNoiseGaiJam,FDC,30.0,20,1.0,0.0,0.0,-0.5365184474521338,0.3088590053172997,0.13536342734508042,314.65,400.75,0.3,0.55,-3.2474722064756696,4.607327266369424,-8.678947198979587e-15,0.0,0.0,0.0,0.8812520623905584,Harmful/Not demonstrated
AMNoiseGaiJam,adapt_filter,30.0,20,1.0,0.0,1.0,29.446755875066266,1.4083241931753137,0.6172252915383192,314.65,1.0,0.3,447.75,-0.1039898264429268,7.84313157874981,-0.28757652475240925,5.695323946259567e-17,2.4960857735528752e-17,0.0,47.26566659810487,Blocked oracle-risk
AMNoiseGaiJam,FrFT,30.0,20,1.0,0.0,0.0,-0.2012316712378181,0.3657323777982386,0.16028928183258126,314.65,314.65,0.3,0.4,-0.9383332728054719,6.956404926308283,-0.33741841018336743,5.695323946259567e-17,2.4960857735528752e-17,0.0,72.97112500236835,Harmful/Not demonstrated
AMNoiseGaiJam,qpzh,30.0,20,1.0,0.0,0.0,-7.8747305918197466,7.024193284568008,3.0784884395927516,314.65,319.15,0.3,0.4,-13.893834400588009,-6.079605458273981,-8.678947198979587e-15,0.0,0.0,0.0,1.7036416102200747,Harmful/Not demonstrated
SMSP,Identity,0.0,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,-9.643274665532876e-15,-0.4328182822273968,-8.678947198979587e-15,0.0,0.0,0.0,0.37784370069857687,Baseline
SMSP,WLN,0.0,20,1.0,1.0,1.0,-0.17139430233802475,0.029329213322187356,0.01285409448414066,0.0,0.5,0.5,0.5,2.0102469629184023,1.5701809519011305,1.7542552869168084,0.0,0.0,0.0,4.49949590547476,Neutral
SMSP,FDC,0.0,20,1.0,1.0,1.0,3.552713678800501e-16,2.551505127924286e-15,1.118246426551688e-15,0.0,0.0,0.5,0.5,-8.437865332341267e-15,-0.43281828222739566,-8.678947198979587e-15,0.0,0.0,0.0,0.8807625563349575,Neutral
SMSP,adapt_filter,0.0,20,1.0,1.0,1.0,13.712267718343053,0.05404842235093024,0.023687765504846605,0.0,1.0,0.5,449.7,-0.2845018282771775,-0.8519949931027894,-0.28757652475240925,5.695323946259567e-17,2.4960857735528752e-17,0.0,47.35916034842376,Blocked oracle-risk
SMSP,FrFT,0.0,20,1.0,1.0,1.0,-0.222538852273634,0.011472718333108641,0.0050281405035896435,0.0,0.2,0.5,0.45,-0.35539363743547564,-0.7900434788282793,-0.33741841018336743,5.695323946259567e-17,2.4960857735528752e-17,0.0,72.9907125030877,Conditional
SMSP,qpzh,0.0,20,1.0,1.0,1.0,2.6527324110224986,0.06170366518908224,0.027042823605440358,0.0,0.35,0.5,0.5,-0.042570044356303,-0.4782039117653646,-8.678947198979587e-15,0.0,0.0,0.0,1.6019978560507298,Recommended
SMSP,Identity,10.0,20,1.0,0.15,0.15,0.0,0.0,0.0,1.05,1.05,0.5,0.5,-9.643274665532876e-15,-1.315507885816208,-8.678947198979587e-15,0.0,0.0,0.16055889229418857,0.3766624489799142,Baseline
SMSP,WLN,10.0,20,1.0,0.15,0.0,1.6137196485942802,0.0231616275407355,0.010151030835520707,1.05,2.0,0.5,0.45,3.61438791479969,2.1905878429748022,1.7542552869168084,0.0,0.0,0.0,4.467943697818555,Harmful/Not demonstrated
